"Mot","Titre","Prix","Hot","Url"
"ssd","PC portable 14"" MacBook Pro (2025) M5 - 16 Go RAM, 512 Go SSD (Frontaliers Suisse)","1165,99","852","https://www.dealabs.com/bons-plans/suisse-apple-macbook-pro-2025-m5-16-gb-ram-512-gb-ssd-3352981"
"ssd","PC fixe CSL Sprint 5665 - Ryzen 5 8400F, RTX 5060, 16 Go DDR5 RAM, 500 Go SSD NVMe, Msi Pro A620M-E,","735,71","669","https://www.dealabs.com/bons-plans/pc-fixe-csl-sprint-5665-ryzen-5-8400f-rtx-5060-16-go-ddr5-ram-500-go-ssd-nvme-msi-pro-a620m-e-3352622"
"ssd","PC portable 13,3"" Lenovo ThinkPad X13 Gen 1 - Ryzen 5 PRO 4650U, 8 Go RAM, 256 Go SSD, Win. 11 (Reconditionné - État correct)","189,9","326","https://www.dealabs.com/bons-plans/pc-portable-lenovo-thinkpad-x13-gen-1-133-ryzen-5-pro-4650u-8-go-ram-256-go-ssd-windows-11-reconditionne-etat-correct-3352901"
"ssd","PC Portable 13,3"" Lenovo IdeaPad Slim 5 13ARP10 - Ryzen 7 7735HS, RAM 16 Go 6400MHz, SSD 512 Go, IPS, WUXGA, AZERTY, Gris, Sans OS","549,99","281","https://www.dealabs.com/bons-plans/pc-portable-lenovo-ideapad-slim-5-13arp10-sans-windows-133-wuxga-ryzen-7-7735hs-3353728"
"ssd","Tablette PC hybride HP Elite X2 G4 13"" tactile avec clavier détachable - i5 Gen 8, 8 Go RAM, 256 Go SSD, Win 11 (Reconditionné - Correct)","179","277","https://www.dealabs.com/bons-plans/tablette-pc-hybride-hp-elite-x2-g4-13-tactile-avec-clavier-detachable-i5-gen-8-8-go-ram-256-go-ssd-windows-11-reconditionne-3352458"
"ssd","Boîtier NVMe SSD Ugreen USB4 40Gbps Compatible Thunderbolt","39,99","257","https://www.dealabs.com/bons-plans/ugreen-usb4-40gbps-boitier-nvme-ssd-compatible-thunderbolt-3353661"
"ssd","PC portable 13,3"" Dell Latitude 7320 - i5-1145G7, 16 Go RAM, 256 Go SSD, Windows 11 (Reconditionné - État correct)","279","255","https://www.dealabs.com/bons-plans/pc-portable-dell-latitude-7320-133-i5-1145g7-16-go-ram-256-go-ssd-windows-11-reconditionne-etat-correct-3352907"
"ssd","Mini PC MLLSE G1 - Ryzen 5 5500U, 16 Go DDR4, SSD de 512 Go, Triple Display, Wifi 5 & BT 4.2, Windows 11","207,48","216","https://www.dealabs.com/bons-plans/mini-pc-mllse-g1-ryzen-5-5500u-16-go-ddr4-ssd-de-512-go-triple-display-wifi-5-bt-42-windows-11-3352257"
"ssd","PC fixe Little Dragon - Ryzen 5 7500F, RTX 5060 Ti 8 Go, 16 Go RAM DDR5, 512 Go SSD, A620AM-B EVO, 650W Bronze","889","152","https://www.dealabs.com/bons-plans/pc-fixe-little-dragon-ryzn-5-7500f-rtx-5060-ti-8-go-16-go-ram-ddr5-512-go-ssd-a620am-b-evo-650w-bronze-3353894"
"ssd","Mini PC Mllse G2 Pro - Intel N150, RAM 12 Go LPDDR5 4800 MT/s, SSD 512 Go, Wifi 5 & BT 5.0, Triple Screen, Windows 11","147,21","146","https://www.dealabs.com/bons-plans/mini-pc-mllse-g2-pro-intel-n150-ram-12-go-lpddr5-4800-mts-ssd-512-go-wifi-5-bt-50-triple-screen-windows-11-3353176"
